id,study_id,contrast_id,x,y,z,space
11832233-1,11832233,1,-28.0,-8.0,64.0,mni152_2mm
11832233-1,11832233,1,24.0,0.0,56.0,mni152_2mm
11832233-1,11832233,1,4.0,4.0,56.0,mni152_2mm
11832233-1,11832233,1,-12.0,-8.0,60.0,mni152_2mm
11832233-1,11832233,1,64.0,-32.0,28.0,mni152_2mm
11832233-1,11832233,1,16.0,-68.0,52.0,mni152_2mm
11832233-1,11832233,1,-12.0,-68.0,56.0,mni152_2mm
11832233-1,11832233,1,40.0,-44.0,52.0,mni152_2mm
11832233-1,11832233,1,-44.0,-36.0,52.0,mni152_2mm
11832233-1,11832233,1,-36.0,-44.0,56.0,mni152_2mm
11832233-1,11832233,1,-40.0,-28.0,56.0,mni152_2mm
11832233-1,11832233,1,24.0,64.0,28.0,mni152_2mm
11832233-1,11832233,1,16.0,-68.0,52.0,mni152_2mm
11832233-1,11832233,1,48.0,36.0,0.0,mni152_2mm
11832233-1,11832233,1,4.0,4.0,52.0,mni152_2mm
11832233-1,11832233,1,-12.0,-68.0,52.0,mni152_2mm
11832233-1,11832233,1,40.0,16.0,36.0,mni152_2mm
11832233-1,11832233,1,-36.0,-44.0,56.0,mni152_2mm
11832233-1,11832233,1,-32.0,-72.0,44.0,mni152_2mm
11832233-1,11832233,1,-40.0,-28.0,56.0,mni152_2mm
11832233-1,11832233,1,-4.0,-52.0,52.0,mni152_2mm
11832233-1,11832233,1,28.0,-80.0,24.0,mni152_2mm
11832233-1,11832233,1,8.0,-84.0,36.0,mni152_2mm
11832233-1,11832233,1,28.0,-64.0,48.0,mni152_2mm
11832233-1,11832233,1,-4.0,-60.0,48.0,mni152_2mm
11832233-1,11832233,1,-16.0,-76.0,48.0,mni152_2mm
11832233-1,11832233,1,-8.0,-88.0,36.0,mni152_2mm
11832233-1,11832233,1,-48.0,-40.0,60.0,mni152_2mm
11832233-1,11832233,1,-44.0,-36.0,40.0,mni152_2mm
11832233-1,11832233,1,-28.0,-44.0,68.0,mni152_2mm
11832233-1,11832233,1,-36.0,-60.0,36.0,mni152_2mm
11832233-1,11832233,1,8.0,-64.0,52.0,mni152_2mm
11832233-1,11832233,1,56.0,-44.0,32.0,mni152_2mm
11832233-1,11832233,1,-36.0,-60.0,60.0,mni152_2mm
11832233-1,11832233,1,24.0,-64.0,60.0,mni152_2mm
11832233-1,11832233,1,-40.0,-28.0,56.0,mni152_2mm
11832233-1,11832233,1,44.0,-40.0,52.0,mni152_2mm
11832233-1,11832233,1,64.0,-32.0,24.0,mni152_2mm
11832233-1,11832233,1,36.0,-44.0,60.0,mni152_2mm
11832233-1,11832233,1,-32.0,-44.0,64.0,mni152_2mm
11832233-1,11832233,1,-24.0,-84.0,24.0,mni152_2mm
11832233-1,11832233,1,-52.0,0.0,48.0,mni152_2mm
11832233-1,11832233,1,-40.0,16.0,0.0,mni152_2mm
